"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Isopterygium.pulchellum",NA,"Isopterygium pulchellum","Species","IsopterygiumPulchellum",16344,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Jaffueliobryum.wrightii",NA,"Jaffueliobryum wrightii","Species","JaffueliobryumWrightii",99001088,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Jamesoniella.autumnalis",NA,"Jamesoniella autumnalis","Species","JamesoniellaAutumnalis",99001089,560,342,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Jungermannia.karl.meulleri",NA,"Jungermannia karl-meulleri","Species","JungermanniaKarlmeulleri",99001355,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Jungermannia.lanceolata",NA,"Jungermannia lanceolata","Species","JungermanniaLanceolata",14945,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Kiaeria.falcata",NA,"Kiaeria falcata","Species","KiaeriaFalcata",99000973,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Lepidozia.reptans",NA,"Lepidozia reptans","Species","LepidoziaReptans",99000975,473,317,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Leptobryum.pyriforme",NA,"Leptobryum pyriforme","Species","LeptobryumPyriforme",99000976,530,370,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Leptodictyum.riparium",NA,"Leptodictyum riparium","Genus","Leptodictyum",99000609,49,43,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Leskea.obscura",NA,"Leskea obscura","Species","LeskeaObscura",99000980,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Leskea.polycarpa",NA,"Leskea polycarpa","Species","LeskeaPolycarpa",99000981,19,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA
"Lophocolea.bidentata",NA,"Lophocolea bidentata","Species","LophocoleaBidentata",99000987,8,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Lophocolea.heterophylla",NA,"Lophocolea heterophylla","Species","LophocoleaHeterophylla",99000988,457,259,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Lophocolea.minor",NA,"Lophocolea minor","Species","LophocoleaMinor",99000989,197,164,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Lophozia.alpestris",NA,"Lophozia alpestris","Species","LophoziaAlpestris",99000990,23,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Lophozia.ascendens",NA,"Lophozia ascendens","Species","LophoziaAscendens",99000991,49,42,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Lophozia.badensis",NA,"Lophozia badensis","Species","LophoziaBadensis",99000992,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Lophozia.bantriensis",NA,"Lophozia bantriensis","Species","LophoziaBantriensis",99000993,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Lophozia.bicrenata",NA,"Lophozia bicrenata","Species","LophoziaBicrenata",99001344,7,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Lophozia.capitata",NA,"Lophozia capitata","Species","LophoziaCapitata",99000994,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
